CODGEO;LIBGEO;AAV2020;LIBAAV2020;CATEAAV2020;DEP;REG
21652;Vandenesse-en-Auxois;000;Commune hors attraction des villes;30;21;27
21653;Vannaire;365;Châtillon-sur-Seine;20;21;27
21655;Vanvey;365;Châtillon-sur-Seine;20;21;27
21656;Varanges;028;Dijon;20;21;27
21657;Varois-et-Chaignot;028;Dijon;20;21;27
21659;Vaux-Saules;028;Dijon;20;21;27
21660;Veilly;000;Commune hors attraction des villes;30;21;27
21661;Velars-sur-Ouche;028;Dijon;20;21;27
21662;Velogny;392;Semur-en-Auxois;20;21;27
21663;Venarey-les-Laumes;619;Venarey-les-Laumes;11;21;27
21664;Verdonnet;442;Montbard;20;21;27
21665;Vernois-lès-Vesvres;028;Dijon;20;21;27
21666;Vernot;028;Dijon;20;21;27
21667;Véronnes;028;Dijon;20;21;27
21669;Verrey-sous-Drée;028;Dijon;20;21;27
21670;Verrey-sous-Salmaise;028;Dijon;20;21;27
21671;Vertault;000;Commune hors attraction des villes;30;21;27
21672;Vesvres;000;Commune hors attraction des villes;30;21;27
21673;Veuvey-sur-Ouche;028;Dijon;20;21;27
21674;Veuxhaulles-sur-Aube;000;Commune hors attraction des villes;30;21;27
21675;Vianges;239;Autun;20;21;27
21676;Vic-de-Chassenay;392;Semur-en-Auxois;20;21;27
21677;Vic-des-Prés;000;Commune hors attraction des villes;30;21;27
21678;Vic-sous-Thil;392;Semur-en-Auxois;20;21;27
21679;Vieilmoulin;028;Dijon;20;21;27
21680;Vielverge;028;Dijon;20;21;27
21681;Vieux-Château;279;Avallon;20;21;27
21682;Viévigne;028;Dijon;20;21;27
21683;Viévy;000;Commune hors attraction des villes;30;21;27
21684;Vignoles;174;Beaune;20;21;27
21685;Villaines-en-Duesmois;442;Montbard;20;21;27
21686;Villaines-les-Prévôtes;392;Semur-en-Auxois;20;21;27
21687;Villargoix;000;Commune hors attraction des villes;30;21;27
21688;Villars-Fontaine;028;Dijon;20;21;27
21689;Villars-et-Villenotte;392;Semur-en-Auxois;20;21;27
21690;Villeberny;000;Commune hors attraction des villes;30;21;27
21691;Villebichot;028;Dijon;20;21;27
21692;Villecomte;028;Dijon;20;21;27
21693;Villedieu;365;Châtillon-sur-Seine;20;21;27
21694;Villeferry;000;Commune hors attraction des villes;30;21;27
21695;La Villeneuve-les-Convers;000;Commune hors attraction des villes;30;21;27
21696;Villeneuve-sous-Charigny;392;Semur-en-Auxois;20;21;27
21698;Villers-la-Faye;028;Dijon;20;21;27
21699;Villers-les-Pots;028;Dijon;20;21;27
21700;Villers-Patras;365;Châtillon-sur-Seine;20;21;27
21701;Villers-Rotin;028;Dijon;20;21;27
21702;Villey-sur-Tille;028;Dijon;20;21;27
21703;Villiers-en-Morvan;000;Commune hors attraction des villes;30;21;27
21704;Villiers-le-Duc;365;Châtillon-sur-Seine;20;21;27
21705;Villotte-Saint-Seine;028;Dijon;20;21;27
